x,u_ex,u_im,u_exact
0,0,0,0
0.01,0.5,0.333317,0.393462
0.02,0.749975,0.555478,0.632068
0.03,0.874888,0.703502,0.776709
0.04,0.937219,0.802068,0.864319
0.05,0.968209,0.867629,0.917298
0.06,0.98348,0.911153,0.949233
0.07,0.99084,0.939952,0.968365
0.08,0.994196,0.958902,0.979692
0.09,0.995499,0.971252,0.986247
0.1,0.995726,0.97917,0.989867
0.11,0.995365,0.984098,0.991668
0.12,0.994661,0.987002,0.992327
0.13,0.993735,0.988522,0.992254
0.14,0.992648,0.989087,0.991698
0.15,0.991432,0.988981,0.99081
0.16,0.990102,0.988397,0.989682
0.17,0.988664,0.987459,0.98837
0.18,0.987125,0.986254,0.986906
0.19,0.985484,0.984838,0.985312
0.2,0.983744,0.983247,0.983601
0.21,0.981905,0.981508,0.98178
0.22,0.979968,0.979638,0.979853
0.23,0.977933,0.977648,0.977825
0.24,0.9758,0.975544,0.975696
0.25,0.973569,0.973334,0.973467
0.26,0.971241,0.971019,0.971141
0.27,0.968815,0.968603,0.968717
0.28,0.966293,0.966087,0.966195
0.29,0.963674,0.963473,0.963577
0.3,0.960959,0.960761,0.960862
0.31,0.958148,0.957952,0.958051
0.32,0.955241,0.955046,0.955145
0.33,0.952238,0.952045,0.952142
0.34,0.94914,0.948948,0.949045
0.35,0.945947,0.945756,0.945852
0.36,0.94266,0.94247,0.942565
0.37,0.939278,0.939089,0.939184
0.38,0.935803,0.935614,0.935709
0.39,0.932234,0.932046,0.93214
0.4,0.928571,0.928384,0.928478
0.41,0.924816,0.92463,0.924723
0.42,0.920969,0.920783,0.920876
0.43,0.917029,0.916844,0.916936
0.44,0.912997,0.912813,0.912905
0.45,0.908874,0.908691,0.908783
0.46,0.904661,0.904478,0.90457
0.47,0.900357,0.900175,0.900266
0.48,0.895962,0.895782,0.895872
0.49,0.891479,0.891299,0.891389
0.5,0.886906,0.886727,0.886816
0.51,0.882244,0.882066,0.882155
0.52,0.877494,0.877317,0.877406
0.53,0.872657,0.87248,0.872569
0.54,0.867732,0.867556,0.867644
0.55,0.86272,0.862546,0.862633
0.56,0.857622,0.857449,0.857536
0.57,0.852439,0.852266,0.852353
0.58,0.84717,0.846998,0.847084
0.59,0.841816,0.841646,0.841731
0.6,0.836378,0.836209,0.836294
0.61,0.830857,0.830689,0.830773
0.62,0.825253,0.825085,0.825169
0.63,0.819565,0.819399,0.819483
0.64,0.813797,0.813632,0.813714
0.65,0.807946,0.807782,0.807864
0.66,0.802015,0.801852,0.801934
0.67,0.796004,0.795842,0.795923
0.68,0.789913,0.789752,0.789833
0.69,0.783743,0.783584,0.783663
0.7,0.777494,0.777336,0.777416
0.71,0.771168,0.771012,0.77109
0.72,0.764765,0.76461,0.764688
0.73,0.758285,0.758131,0.758209
0.74,0.75173,0.751577,0.751654
0.75,0.745099,0.744948,0.745024
0.76,0.738394,0.738244,0.738319
0.77,0.731615,0.731466,0.731541
0.78,0.724763,0.724615,0.724689
0.79,0.717838,0.717692,0.717765
0.8,0.710842,0.710697,0.71077
0.81,0.703774,0.703631,0.703703
0.82,0.696636,0.696494,0.696565
0.83,0.689429,0.689288,0.689359
0.84,0.682152,0.682013,0.682083
0.85,0.674808,0.67467,0.674739
0.86,0.667395,0.667259,0.667327
0.87,0.659916,0.659781,0.659849
0.88,0.652371,0.652238,0.652305
0.89,0.644761,0.644629,0.644696
0.9,0.637087,0.636956,0.637022
0.91,0.629348,0.629219,0.629284
0.92,0.621547,0.62142,0.621484
0.93,0.613684,0.613558,0.613621
0.94,0.605759,0.605635,0.605697
0.95,0.597773,0.597651,0.597712
0.96,0.589728,0.589607,0.589668
0.97,0.581624,0.581505,0.581565
0.98,0.573462,0.573344,0.573403
0.99,0.565242,0.565126,0.565184
1,0.556966,0.556851,0.556909
1.01,0.548634,0.548521,0.548578
1.02,0.540247,0.540136,0.540192
1.03,0.531807,0.531697,0.531752
1.04,0.523313,0.523205,0.523259
1.05,0.514767,0.51466,0.514714
1.06,0.506169,0.506064,0.506117
1.07,0.49752,0.497418,0.497469
1.08,0.488822,0.488721,0.488772
1.09,0.480075,0.479976,0.480026
1.1,0.47128,0.471183,0.471232
1.11,0.462438,0.462342,0.462391
1.12,0.45355,0.453456,0.453503
1.13,0.444616,0.444524,0.44457
1.14,0.435638,0.435547,0.435593
1.15,0.426616,0.426527,0.426572
1.16,0.417552,0.417465,0.417509
1.17,0.408446,0.40836,0.408403
1.18,0.399299,0.399215,0.399257
1.19,0.390112,0.39003,0.390071
1.2,0.380886,0.380806,0.380846
1.21,0.371622,0.371544,0.371583
1.22,0.362321,0.362244,0.362283
1.23,0.352983,0.352909,0.352946
1.24,0.34361,0.343538,0.343575
1.25,0.334203,0.334133,0.334168
1.26,0.324763,0.324694,0.324729
1.27,0.31529,0.315223,0.315257
1.28,0.305785,0.30572,0.305753
1.29,0.29625,0.296187,0.296219
1.3,0.286686,0.286624,0.286655
1.31,0.277092,0.277033,0.277063
1.32,0.267471,0.267414,0.267443
1.33,0.257823,0.257768,0.257796
1.34,0.24815,0.248096,0.248123
1.35,0.238451,0.2384,0.238426
1.36,0.228729,0.228679,0.228704
1.37,0.218984,0.218936,0.21896
1.38,0.209217,0.209171,0.209194
1.39,0.199429,0.199385,0.199407
1.4,0.189621,0.189579,0.1896
1.41,0.179794,0.179754,0.179774
1.42,0.169949,0.169911,0.169931
1.43,0.160087,0.160051,0.16007
1.44,0.150209,0.150175,0.150193
1.45,0.140317,0.140285,0.140301
1.46,0.13041,0.13038,0.130395
1.47,0.12049,0.120462,0.120476
1.48,0.110558,0.110532,0.110545
1.49,0.100615,0.100591,0.100603
1.5,0.0906616,0.0906395,0.0906508
1.51,0.0806994,0.0806793,0.0806897
1.52,0.0707291,0.070711,0.0707204
1.53,0.0607518,0.0607357,0.0607441
1.54,0.0507684,0.0507543,0.0507617
1.55,0.0407799,0.0407678,0.0407742
1.56,0.0307874,0.0307772,0.0307826
1.57,0.0207917,0.0207836,0.020788
1.58,0.010794,0.0107879,0.0107913
1.59,0.000795247,0.000791091,0.000793502
1.6,-0.00920362,-0.00920578,-0.00920437
1.61,-0.0192016,-0.0192017,-0.0192013
1.62,-0.0291976,-0.0291958,-0.0291963
1.63,-0.0391907,-0.0391869,-0.0391885
1.64,-0.0491799,-0.0491741,-0.0491767
1.65,-0.0591642,-0.0591563,-0.0591599
1.66,-0.0691425,-0.0691327,-0.0691373
1.67,-0.079114,-0.0791021,-0.0791077
1.68,-0.0890775,-0.0890637,-0.0890703
1.69,-0.0990321,-0.0990163,-0.0990239
1.7,-0.108977,-0.108959,-0.108968
1.71,-0.118911,-0.118891,-0.1189
1.72,-0.128833,-0.128811,-0.128821
1.73,-0.138742,-0.138718,-0.138729
1.74,-0.148637,-0.148611,-0.148624
1.75,-0.158517,-0.158489,-0.158503
1.76,-0.168382,-0.168352,-0.168366
1.77,-0.178229,-0.178198,-0.178213
1.78,-0.188059,-0.188025,-0.188042
1.79,-0.19787,-0.197834,-0.197852
1.8,-0.207661,-0.207624,-0.207642
1.81,-0.217432,-0.217392,-0.217412
1.82,-0.22718,-0.227139,-0.227159
1.83,-0.236906,-0.236863,-0.236884
1.84,-0.246609,-0.246563,-0.246586
1.85,-0.256286,-0.256239,-0.256262
1.86,-0.265938,-0.265889,-0.265913
1.87,-0.275564,-0.275512,-0.275538
1.88,-0.285162,-0.285108,-0.285135
1.89,-0.294731,-0.294676,-0.294703
1.9,-0.304271,-0.304214,-0.304242
1.91,-0.31378,-0.313721,-0.31375
1.92,-0.323258,-0.323197,-0.323227
1.93,-0.332704,-0.332641,-0.332672
1.94,-0.342116,-0.342052,-0.342084
1.95,-0.351495,-0.351428,-0.351461
1.96,-0.360838,-0.360769,-0.360803
1.97,-0.370145,-0.370074,-0.370109
1.98,-0.379415,-0.379343,-0.379378
1.99,-0.388647,-0.388573,-0.388609
2,-0.39784,-0.397764,-0.397802
